Label Feature,Dropped Feature,Model Name,Test MSE,Test MAE,Test MAPE
SWC_20,T_20,Multi-step Dense,0.015711907297372818,0.06069443002343178,10.626774787902832
SWC_20,T_20,CNN,0.015400337055325508,0.05986180156469345,12.523364067077637
SWC_20,T_20,RNN,0.01963384635746479,0.08064641058444977,19.727195739746094
SWC_20,T_20,LSTM,0.05340404063463211,0.153100848197937,15.851836204528809
SWC_20,T_20,Autoregressive,0.03195320442318916,0.09913317859172821,15.834671974182129
SWC_20,T_20,Bi-LSTM,0.02876211889088154,0.1101364865899086,25.367168426513672
SWC_20,T_50,Baseline,0.024169854819774628,0.0492812916636467,12.14448356628418
SWC_20,T_50,Multi-step Linear,0.0941694974899292,0.2609882354736328,33.94013595581055
SWC_20,T_50,Multi-step Dense,0.01933196745812893,0.05764555558562279,10.335371971130371
SWC_20,T_50,CNN,0.023925887420773506,0.10882070660591125,17.92275619506836
SWC_20,T_50,RNN,0.023625630885362625,0.0980917364358902,19.09332275390625
SWC_20,T_50,LSTM,0.04422075301408768,0.15681487321853638,23.641643524169922
SWC_20,T_50,Autoregressive,0.03986004739999771,0.1298678070306778,14.538850784301758
SWC_20,T_50,Bi-LSTM,0.034422311931848526,0.12924735248088837,21.04055404663086
SWC_20,Tair,Baseline,0.02416984736919403,0.049281295388936996,12.144475936889648
SWC_20,Tair,Multi-step Linear,0.10063692927360535,0.2733057141304016,30.890514373779297
SWC_20,Tair,Multi-step Dense,0.01681511290371418,0.06595774739980698,13.822375297546387
SWC_20,Tair,CNN,0.015768375247716904,0.0642920732498169,12.221142768859863
SWC_20,Tair,RNN,0.02228289283812046,0.08814451098442078,17.52144432067871
SWC_20,Tair,LSTM,0.03892277926206589,0.12274862825870514,17.59410285949707
SWC_20,Tair,Autoregressive,0.03362229838967323,0.10691531002521515,17.448352813720703
SWC_20,Tair,Bi-LSTM,0.0350184366106987,0.1358627825975418,17.9070987701416
SWC_20,RH,Baseline,0.024169858545064926,0.0492812804877758,12.14448070526123
SWC_20,RH,Multi-step Linear,0.10492940247058868,0.2714107036590576,27.36587142944336
SWC_20,RH,Multi-step Dense,0.0131590086966753,0.043976034969091415,8.707466125488281
SWC_20,RH,CNN,0.017859505489468575,0.06865183264017105,10.27708911895752
SWC_20,RH,RNN,0.02547028288245201,0.10018805414438248,12.88758659362793
SWC_20,RH,LSTM,0.034070514142513275,0.12538307905197144,20.456836700439453
SWC_20,RH,Autoregressive,0.043904926627874374,0.1394573152065277,19.303070068359375
SWC_20,RH,Bi-LSTM,0.7938437461853027,0.5787883400917053,58.69779586791992
SWC_20,Srad,Baseline,0.024169860407710075,0.0492812804877758,12.144479751586914
SWC_20,Srad,Multi-step Linear,0.08255249261856079,0.24108484387397766,33.726463317871094
SWC_20,Srad,Multi-step Dense,0.013302217237651348,0.04575717821717262,8.85161304473877
SWC_20,Srad,CNN,0.017337609082460403,0.07342162728309631,13.134506225585938
SWC_20,Srad,RNN,0.032672736793756485,0.12142283469438553,21.927837371826172
SWC_20,Srad,LSTM,0.03273901343345642,0.11506781727075577,15.751871109008789
SWC_20,Srad,Autoregressive,0.029582373797893524,0.0923089012503624,13.92835521697998
SWC_20,Srad,Bi-LSTM,0.06334258615970612,0.17231707274913788,20.589479446411133
SWC_20,Wx,Baseline,0.024169854819774628,0.0492812916636467,12.144478797912598
SWC_20,Wx,Multi-step Linear,0.09763051569461823,0.27056774497032166,33.94670486450195
SWC_20,Wx,Multi-step Dense,0.01626047119498253,0.06088508293032646,11.13652229309082
SWC_20,Wx,CNN,0.015475234016776085,0.06403276324272156,9.408287048339844
SWC_20,Wx,RNN,0.022252729162573814,0.09015337377786636,17.520681381225586
SWC_20,Wx,LSTM,0.04629793018102646,0.1636343151330948,20.0469913482666
